File 117-2144.cpp: 120 tokens, 39 lines (not NL-terminated)
File 39-2144.cpp: 124 tokens, 25 lines (not NL-terminated)
File 42-2144.cpp: 120 tokens, 23 lines (not NL-terminated)
File 43-2144.cpp: 122 tokens, 26 lines (not NL-terminated)
File 47-2144.cpp: 128 tokens, 21 lines (not NL-terminated)
File 49-2144.cpp: 122 tokens, 22 lines (not NL-terminated)
File 50-2144.cpp: 119 tokens, 19 lines (not NL-terminated)
File 58-2144.cpp: 121 tokens, 19 lines (not NL-terminated)
File 59-2144.cpp: 128 tokens, 24 lines (not NL-terminated)
File 60-2144.cpp: 126 tokens, 29 lines (not NL-terminated)
File 63-2144.cpp: 131 tokens, 26 lines (not NL-terminated)
File 64-2144.cpp: 110 tokens, 22 lines (not NL-terminated)
File 66-2144.cpp: 150 tokens, 27 lines (not NL-terminated)
File 67-2144.cpp: 113 tokens, 26 lines (not NL-terminated)
File 70-2144.cpp: 147 tokens, 30 lines (not NL-terminated)
File 71-2144.cpp: 148 tokens, 38 lines (not NL-terminated)
File 72-2144.cpp: 135 tokens, 20 lines (not NL-terminated)
File 75-2144.cpp: 153 tokens, 17 lines (not NL-terminated)
File 76-2144.cpp: 168 tokens, 29 lines (not NL-terminated)
File 78-2144.cpp: 118 tokens, 23 lines (not NL-terminated)
File 83-2144.cpp: 129 tokens, 20 lines (not NL-terminated)
File 89-2144.cpp: 127 tokens, 26 lines (not NL-terminated)
File 90-2144.cpp: 120 tokens, 34 lines (not NL-terminated)
File 97-2144.cpp: 135 tokens, 34 lines (not NL-terminated)
File 98-2144.cpp: 118 tokens, 28 lines (not NL-terminated)
Total input: 77 files (77 new, 0 old), 10325 tokens

121-2144.cpp consists for 83 % of 132-2144.cpp material
13-2144.cpp consists for 71 % of 47-2144.cpp material
335-2144.cpp consists for 67 % of 38-2144.cpp material
335-2144.cpp consists for 30 % of 75-2144.cpp material
47-2144.cpp consists for 64 % of 72-2144.cpp material
43-2144.cpp consists for 61 % of 90-2144.cpp material
43-2144.cpp consists for 27 % of 59-2144.cpp material
14-2144.cpp consists for 61 % of 90-2144.cpp material
14-2144.cpp consists for 33 % of 32-2144.cpp material
50-2144.cpp consists for 61 % of 76-2144.cpp material
328-2144.cpp consists for 60 % of 70-2144.cpp material
119-2144.cpp consists for 58 % of 98-2144.cpp material
119-2144.cpp consists for 29 % of 31-2144.cpp material
42-2144.cpp consists for 57 % of 78-2144.cpp material
42-2144.cpp consists for 23 % of 67-2144.cpp material
71-2144.cpp consists for 53 % of 98-2144.cpp material
206-2144.cpp consists for 53 % of 50-2144.cpp material
206-2144.cpp consists for 27 % of 58-2144.cpp material
23-2144.cpp consists for 52 % of 98-2144.cpp material
23-2144.cpp consists for 23 % of 321-2144.cpp material
258-2144.cpp consists for 51 % of 50-2144.cpp material
346-2144.cpp consists for 51 % of 67-2144.cpp material
346-2144.cpp consists for 31 % of 97-2144.cpp material
90-2144.cpp consists for 50 % of 98-2144.cpp material
78-2144.cpp consists for 48 % of 90-2144.cpp material
228-2144.cpp consists for 48 % of 24-2144.cpp material
170-2144.cpp consists for 46 % of 305-2144.cpp material
305-2144.cpp consists for 45 % of 354-2144.cpp material
305-2144.cpp consists for 31 % of 71-2144.cpp material
136-2144.cpp consists for 44 % of 305-2144.cpp material
238-2144.cpp consists for 43 % of 47-2144.cpp material
213-2144.cpp consists for 43 % of 245-2144.cpp material
133-2144.cpp consists for 42 % of 97-2144.cpp material
133-2144.cpp consists for 29 % of 49-2144.cpp material
351-2144.cpp consists for 42 % of 90-2144.cpp material
97-2144.cpp consists for 41 % of 98-2144.cpp material
49-2144.cpp consists for 40 % of 66-2144.cpp material
49-2144.cpp consists for 26 % of 98-2144.cpp material
144-2144.cpp consists for 40 % of 43-2144.cpp material
144-2144.cpp consists for 24 % of 170-2144.cpp material
144-2144.cpp consists for 21 % of 213-2144.cpp material
132-2144.cpp consists for 38 % of 141-2144.cpp material
132-2144.cpp consists for 35 % of 256-2144.cpp material
132-2144.cpp consists for 21 % of 330-2144.cpp material
66-2144.cpp consists for 36 % of 71-2144.cpp material
180-2144.cpp consists for 36 % of 305-2144.cpp material
180-2144.cpp consists for 24 % of 321-2144.cpp material
180-2144.cpp consists for 22 % of 38-2144.cpp material
76-2144.cpp consists for 36 % of 78-2144.cpp material
83-2144.cpp consists for 36 % of 90-2144.cpp material
245-2144.cpp consists for 36 % of 351-2144.cpp material
245-2144.cpp consists for 24 % of 59-2144.cpp material
141-2144.cpp consists for 34 % of 316-2144.cpp material
354-2144.cpp consists for 34 % of 59-2144.cpp material
354-2144.cpp consists for 28 % of 70-2144.cpp material
354-2144.cpp consists for 25 % of 43-2144.cpp material
17-2144.cpp consists for 33 % of 83-2144.cpp material
316-2144.cpp consists for 33 % of 351-2144.cpp material
316-2144.cpp consists for 23 % of 321-2144.cpp material
60-2144.cpp consists for 33 % of 72-2144.cpp material
15-2144.cpp consists for 33 % of 21-2144.cpp material
15-2144.cpp consists for 24 % of 31-2144.cpp material
15-2144.cpp consists for 22 % of 78-2144.cpp material
31-2144.cpp consists for 32 % of 38-2144.cpp material
31-2144.cpp consists for 26 % of 330-2144.cpp material
31-2144.cpp consists for 23 % of 317-2144.cpp material
67-2144.cpp consists for 32 % of 70-2144.cpp material
67-2144.cpp consists for 28 % of 75-2144.cpp material
67-2144.cpp consists for 28 % of 72-2144.cpp material
329-2144.cpp consists for 32 % of 97-2144.cpp material
139-2144.cpp consists for 31 % of 182-2144.cpp material
256-2144.cpp consists for 31 % of 328-2144.cpp material
336-2144.cpp consists for 31 % of 59-2144.cpp material
21-2144.cpp consists for 30 % of 346-2144.cpp material
21-2144.cpp consists for 23 % of 76-2144.cpp material
24-2144.cpp consists for 30 % of 47-2144.cpp material
24-2144.cpp consists for 25 % of 245-2144.cpp material
24-2144.cpp consists for 23 % of 31-2144.cpp material
32-2144.cpp consists for 29 % of 58-2144.cpp material
32-2144.cpp consists for 28 % of 47-2144.cpp material
32-2144.cpp consists for 21 % of 75-2144.cpp material
124-2144.cpp consists for 29 % of 336-2144.cpp material
124-2144.cpp consists for 28 % of 259-2144.cpp material
58-2144.cpp consists for 29 % of 67-2144.cpp material
58-2144.cpp consists for 28 % of 72-2144.cpp material
58-2144.cpp consists for 21 % of 78-2144.cpp material
59-2144.cpp consists for 27 % of 71-2144.cpp material
59-2144.cpp consists for 26 % of 89-2144.cpp material
59-2144.cpp consists for 25 % of 60-2144.cpp material
63-2144.cpp consists for 27 % of 98-2144.cpp material
63-2144.cpp consists for 24 % of 76-2144.cpp material
63-2144.cpp consists for 21 % of 78-2144.cpp material
126-2144.cpp consists for 26 % of 256-2144.cpp material
126-2144.cpp consists for 22 % of 38-2144.cpp material
126-2144.cpp consists for 20 % of 132-2144.cpp material
72-2144.cpp consists for 25 % of 90-2144.cpp material
309-2144.cpp consists for 25 % of 340-2144.cpp material
309-2144.cpp consists for 21 % of 311-2144.cpp material
321-2144.cpp consists for 25 % of 43-2144.cpp material
340-2144.cpp consists for 24 % of 43-2144.cpp material
340-2144.cpp consists for 22 % of 97-2144.cpp material
39-2144.cpp consists for 24 % of 42-2144.cpp material
330-2144.cpp consists for 24 % of 60-2144.cpp material
38-2144.cpp consists for 24 % of 72-2144.cpp material
251-2144.cpp consists for 24 % of 83-2144.cpp material
251-2144.cpp consists for 22 % of 321-2144.cpp material
151-2144.cpp consists for 22 % of 66-2144.cpp material
151-2144.cpp consists for 21 % of 340-2144.cpp material
70-2144.cpp consists for 22 % of 97-2144.cpp material
317-2144.cpp consists for 21 % of 329-2144.cpp material
317-2144.cpp consists for 20 % of 42-2144.cpp material
89-2144.cpp consists for 20 % of 90-2144.cpp material
326-2144.cpp consists for 20 % of 49-2144.cpp material
117-2144.cpp consists for 20 % of 329-2144.cpp material
75-2144.cpp consists for 20 % of 76-2144.cpp material
311-2144.cpp consists for 20 % of 49-2144.cpp material
